id-JP6406583B2    abstract-
id-US20160102926A1    abstract-The present invention discloses improved heated surfaces (HS) with vertical multiple passage panels or vertical serpentine coils from straight tubes with connections between them by top and bottom bends. In HS with tube bends there is not any mixing headers—each circuit has a single tube from inlet header to outlet header. This increases mass velocity of flow and improves stability and temperature regulation of tubes. The bottom bends have holes. The bottom bend holes of the adjacent passes are connected with drain header by drain stubs. Each header serves to drain the adjacent tube passes and as equalizing header of pressure/flow. It will help to decrease multivaluedness and maldistribution of flow between parallel tubes of the module. Such design of HS noticeably decreases the corrosion of tubes.

id-US20160115826A1    abstract-The present invention generally relates to a combined cycle power plant. More in particular, the present invention relates to a plant where the temperature of the flow of gas exiting the turbine is lowered without the need of employing high cost nickel alloys within the heat recovery steam generator.

id-US20160116156A1    abstract-A co-generation process for a regenerator in an FCC system having a reactor and a regenerator includes the steps of introducing flue gas from the regenerator into a heating unit at a first location of the heating unit, and introducing an oxygen/fuel gas mixture into the heating unit at a second location of the heating unit apart from the first location, and combusting the oxygen/fuel gas mixture in the heating unit at the second location to form a hot combustion gas. The process further includes the steps of combining the hot combustion gas and the flue gas at a third location of the heating unit apart from the first location to produce heated flue gas, heating water and/or steam with the heated flue gas to produce a heated steam, and introducing the heated steam into a turbine to extract energy from the heated steam.

id-US11105498B2    abstract-Various embodiments relate to combined heat and power (CHP) systems. A CHP system can include a turbine system, a turbocharger system, and a refrigeration system. The refrigeration system can receive combustion products from the turbine system and compressed air from the turbocharger system. The refrigeration system can cool the combustion products and the compressed air to generate a cooled combustion product mixture that is provided to the turbine system.

id-US20160138796A1    abstract-A method for using untreated produced water to generate steam and simultaneously producing diluents is disclosed. The method includes a combustion process for generating steam for hydrocarbon recovery using untreated water and, an optional process for recovering combustion byproducts to assist in hydrocarbon recovery or solvent injections. Specifically, a novel combustion method and a double-tube heat exchanger are used to generate steam while minimizing or eliminating water treatment steps and boiler fouling. Low value pitch, also known as asphalt, is used for combustion fuel. In addition to the steam generation, byproducts of the combustion process can be utilized in solvent injections or as a diluent.

