id-EP3960889A4    abstract-
id-CN111076560A    abstract-本发明涉及一种荒煤气余热回收系统，包括上升管组件及用于输送换热工质的管道，上升管组件包括具有换热功能的上升管、三通桥管、设置于三通桥管上部的水封部，水封部包括座体和水封盖，座体固定于所述三通桥管，座体设置有水封口，水封盖活动连接于座体，并用于封闭水封口，换热工质与上升管内的荒煤气进行换热；还包括传动装置，管道设置有阀门，传动装置分别与水封盖及阀门的关闭执行机构相连，水封盖爆开时带动传动装置动作，并通过传动装置驱动所述阀门同步关闭；本发明所提供的荒煤气余热回收系统，可靠性高、稳定性好，不仅可以实现漏水检测，而且可以有效避免和解决现有技术存在的问题，有利于系统长期稳定、安全运行。
id-CN111207600A    abstract-本发明公开一种玻璃窑烟气余热利用方法，包括以下步骤：a、在余热锅炉入口与出口并联空气换热器；b、当厂区的蒸汽量需求减少时，在满足脱硝装置入口烟气温度的同时减少余热锅炉的烟气供给，使玻璃窑烟气进入空气换热器，经过换热的空气送往玻璃窑主生产线作为助燃空气使用；通过并联空气换热器，调节烟气通过余热锅炉和空气换热器的流量，既保证了脱硝装置进口烟气温度的要求，也可调节供给厂区的蒸汽量，并提供了主线助燃风，从而减少主线燃料耗量，达到节能降耗的目的。
id-CN110982976A    abstract-本发明涉及一种板式气气换热器，包括有箱体，箱体的顶部设有煤气进接口和煤气输出口，箱体的前后设有烟气进接口和烟气输出口；煤气接进口对应的低温段换热板包括上层换热板和下层换热板，上层换热板和下层换热板之间设有横梁；低温段换热板与烟气输出口连接，所述上层换热板设有2层换热板，下层换热板设有3层换热板；所述低温段换热板的换热板片采用超级奥氏体不锈钢，厚度为1.0mm；高温段换热板对应低温段换热板设置在箱体内，并与烟气进接口连接，高温段换热板采用316l不锈钢，厚度为1.2mm；所述气气换热器还设有人孔；本发明的低温段通过二段式换热板结构，分隔开换热板腐蚀层与非腐蚀层，实现换热板的可分段更换，达到延长换热器使用寿命的效果。
id-CN111121474A    abstract-本发明提出的一种梭式窑热回收再利用系统，包括：梭式窑、烟道、换热器、风机和烘干窑，梭式窑包括第三烟气出气口，换热器包括第一烟气进气口、第一烟气出气口、冷空气进气口和热空气出气口，烘干窑包括烘干进气口和烘干出气口，烘干窑底部设有内腔，烘干窑底部设有用于连通内腔的第二烟气进气口和第二烟气出气口，风机和冷空气进气口通过管道连通，热空气出气口和烘干进气口通过管道连通，第三烟气出气口和第一烟气进气口通过烟道连通，第一烟气出气口和第二烟气进气口通过烟道连通。本发明进行了两次热交换，可将高温烟气的热量用于烘干，从而有效减少能量的浪费。
id-CN111238230A    abstract-本发明涉及灼烧设备技术领域，公开了一种环保高效型稀土用灼烧装置，包括进料管道、收集槽、下料板、灼烧管腔；灼烧管腔设置为环形的筒状结构，进料管道的内顶部设置有一圈灼烧板，灼烧板的底部设置有一组固定在灼烧管腔下表面上的输送板，灼烧管腔的内顶部等间距设置有三组枪口，枪口的一侧设置有点火装置,位于下料板顶端的灼烧管腔的内部上侧设置有一组拨料轮，拨料轮的两端通过连杆转动连接在设置在拨料轮上侧的安装架上，位于喷火枪杆之间的灼烧管腔的内侧面连通有三组废气管,废气管的内端均连通有一组底部固定在灼烧管腔中部上表面的风机。本发明的优点是：灼烧均匀全面，自动排料，灼烧快速便捷，环保性高，利于推广使用。
id-CN111219988A    abstract-本发明提供一种装配式耐火实验炉及含其的耐火实验系统，所述耐火实验炉包括底座、炉体、钢架结构、燃烧机装置和耐高温摄像装置，所述底座设在炉体的下方，底座内部空间设有第一排烟道；所述炉体由若干块陶瓷纤维锆盾异形件拼装而成，所述燃烧机装置和耐高温摄像装置通过陶瓷纤维锆盾异形件上的预留孔，分别为炉体内提供燃烧和摄像功能；所述钢架结构包括第一钢架结构和第二钢架结构，所述第一钢架结构连接固定若干块陶瓷纤维锆盾异形件，第二钢架结构设在炉体外围，加强炉体的整体强度，以及支撑炉盖。
id-CN111121450A    abstract-本发明涉及石灰、水泥、球团等回转窑生产技术领域，尤其涉及一种应用在回转窑窑头罩内的换热装置。包括下部集气箱、上部集气箱、辐射管与风机；所述下部集气箱与上部集气箱安装在回转窑窑头罩内，下部集气箱与上部集气箱通过辐射管相连，辐射管的两端分别与下部集气箱与上部集气箱相连；风机通过输入管道与下部集气箱相连，上部集气箱与输出管道相连。收集回转窑内的辐射热量和冷却器中熟料的辐射热量，回收的热量可选择加热磨煤系统烟气，或加热烧嘴助燃空气，使热量有效利用。
id-CN111207410A    abstract-本发明涉及一种烧结机点火炉热风助燃系统，属于点火炉助燃技术领域，包括机架、烧结机本体和点火炉，所述点火炉连通有助燃风管，所述烧结机本体的机尾处设置有下料口，所述机架上设置有吸风罩，所述吸风罩位于下料口的正上方，所述吸风罩与助燃风管之间连通有吸气管，所述机架上设置有与吸气管连通的鼓风机。烧结机本体工作后产生的烧结料通过下料口排出，因烧结料的温度很高，导致下料口附近空气的温度较高；工作时，鼓风机工作，使得下料口附近的空气被吸入吸风罩内，通过吸风管通入助燃风管内，最后通向点火炉内，最大限度提高点火温度，减低点火炉煤气消耗，节约燃料。
id-CN111139103A    abstract-本发明公开了一种蓄热式热解气化装置，包括水蒸气控制系统、热解气化炉和蓄热系统；蓄热系统置于热解气化炉的喉口内，通过蓄放热反应，控制热解气化炉温度；水蒸气控制系统与蓄热系统相连接，控制蓄热系统的蓄放热反应。本发明能够实现可燃固废连续稳定进行热转化反应，产生高品质气化气的目标，通过喉口内蓄热材料的蓄放热，调节热解气化炉内温度，解决现有的热解气化炉所存在的热转化过程中，炉膛温度分布的时间与空间不匹配的问题，减少能量浪费，提升可燃固废的热解气化效果。
id-BE1027979A1    abstract-Die vorliegende Erfindung betrifft eine Vorrichtung zur thermischen Behandlung mineralischer Feststoffe, wobei die Vorrichtung wenigstens einen Vorwärmer und einen Flugstromreaktor 10 aufweist, wobei am Ausgang des Flugstromreaktors 10 eine Abscheidevorrichtung 20 angeordnet ist, dadurch gekennzeichnet, dass am Ausgang des Gasstromes der Abscheidevorrichtung 20 eine thermische Behandlungszone 30 angeordnet ist, wobei der Ausgang der thermischen Behandlungszone 30 mit dem Eingang für den Gasstrom des Vorwärmers verbunden ist.
id-CN111174593B    abstract-本发明公开了炉气净化回收技术领域的一种黄金熔炼炉气净化和回收金的装置，包括回收箱，回收箱内腔的中部固定安装有除尘箱、内腔的两侧分别固定安装有第一喷淋箱和第二喷淋箱，除尘箱的内腔固定安装有袋式除尘组件以及位于袋式除尘组件顶部的脉冲阀，第一喷淋箱和第二喷淋箱的内腔均固定安装有导流机构，以让水从上向下流动时形成交错分布的垂直水幕，第一喷淋箱左侧的底部连通有进气管、右侧的顶部通过第一连接管与除尘箱左侧的底部连通，该黄金熔炼炉气净化和回收金的装置，结构简单，设计合理，有效提高了黄金的回收率和对炉气的除尘效果，喷淋效果稳定、效果好，排放炉气达标稳定，具有较好的经济效益。
id-CN111121475A    abstract-一种全负荷宽温度的烟气加热器，属于锅炉技术领域，以解决现有的烟气换热器存在较大的漏风的问题。本发明包括减速电机、转子、扇形仓、上盖板、下盖板和转子外壳，减速电机通过轴与转子相连，转子转动设置在转子外壳上，转子上设有扇形仓，上盖板和下盖板呈一定间距固定在转子外壳上，上盖板、下盖板和转子外壳形成封闭的空腔，扇形仓设置在所述空腔内，上盖板和下盖板分别与扇形仓呈一定间隙设置，上盖板和下盖板分别固定有一个环形内密封板，每个环形内密封板的端部到转子的间距为2‑3mm，转子外壳上固定有两个对称并呈一定间距设置的环形外密封板。本发明设置环形内密封板和环形外密封板，以降低烟气的泄露量，从而保证烟气换热器的换热效率。
id-CN111174213A    abstract-本发明涉及危险废气物处理领域，更具体的说，涉及一种物料搅动式富氧熔融装置。本装置包括：富氧燃烧装置包括数支富氧燃烧喷枪，对熔融炉本体装置内产生火焰；熔融炉本体装置包括熔融炉本体，对其内部的物料进行熔融；给料与流化床加热装置，利用熔融炉本体装置在熔融过程中产生的热量对需要输送的物料进行升温和干燥；其中，数支富氧燃烧喷枪沿熔融炉本体四周均匀布置，产生的火焰均匀分布在熔融炉本体内，在熔融炉本体内形成切圆旋转，搅动位于熔融炉本体底部的物料。本发明降低熔融过程能耗，促进熔融物料搅动，增强传热并减少熔融时间，在实现飞灰熔融资源化利用的同时实现二次飞灰的循环，减少熔融过程产生的污染。
id-CN111120978A    abstract-本发明公开了一种隧道窑辐射换热式余热锅炉，锅炉钢结构支撑平台、除氧器、连续排污扩容器、定期排污扩容器、给水泵、省煤器进水集箱、省煤器、锅筒、一级蒸发器、二级蒸发器、三级蒸发器、四级蒸发器、饱和蒸汽集箱、低温过热器、减温器、高温过热器、过热蒸汽出口集箱、过热蒸汽引出管、给水加热器。本发明提供一种隧道窑辐射换热式余热锅炉，解决了隧道窑炉产品冷却时间长、成本高以及冷却产品过程中释放的余热利用效率低的问题，更好的提高了产品的使用效果，推动了行业的进步与发展。
id-CN111141151A    abstract-本发明提出的一种梭式窑助燃空气外预热系统，包括：梭式窑、烟道、换热器和风机，梭式窑包括大气进气口、助燃空气进气口和第二烟气出气口，换热器包括第一烟气进气口、第一烟气出气口、冷空气进气口和热空气出气口，第二烟气出气口、烟道和第一烟气进气口依次连通，风机和冷空气出气口通过管道连通，热空气出气口和助燃空气进气口通过管道连通。本发明通过冷空气与高温烟气发生热交换变成热空气，热空气通过管道进入助燃空气进气口进行助燃，可提高燃烧值，降低燃料的使用量，从而达到降低能耗的作用。
id-US20210207846A1    abstract-The present application provides a temperature control device for fluids, which comprises a furnace, a fluid pipe, a plurality of regenerative members, a burner, and an air control device. The burner heats the furnace to store heat to the regenerative members inside the furnace and conduct the thermal energy to the fluid pipe. The fluid pipi outputs a heated liquid. In addition, the regenerative members further produce and transport heated air to the air control device. The air control device converts the heated air to output cooled air.
id-CN111076197A    abstract-本申请提供了提供一种保温氧化冷却火柜及熔炼系统，保温氧化冷却火柜包括呈中空结构的柜体、连通柜体的用于连接挥发熔炼炉的进气烟道以及连通柜体的用于连接布袋室的排气烟道。柜体内设有用于降低烟气流速使烟气中的物料沉降于柜体的底部进行二次燃烧的阻隔机构，柜体的顶部设有对烟气进行冷却的冷却机构。烟气从进气烟道进入柜体内，在阻隔机构的作用下，烟气流速降低因而物料沉降在柜体的底部上，由于冷却机构距离底部的距离较远，因此冷却过程中主要是对烟气进行冷却，而对底部上的物料的影响较小。物料仍可保持较高的温度，进行二次燃烧，无需重新投入挥发熔炼炉进行熔炼。因而节约了大量的人力、物力，降低了生产成本。
id-CN111154957B    abstract-本发明提供一种用于淬火废气导流的装置及其导流方法，其包括淬火室、废气室、升降组件和抽风组件，废气室位于淬火室的顶部，淬火室通过隔板和废气室固连，升降组件中的支撑板和隔板的侧面固连，抽风组件中的电动机和升降组件中的滑动块固连，淬火室相邻的两侧面通过三角支撑架与支撑板的下表面固连，密封毛刷位于废气室相邻的两侧面，气体检测仪位于废气室内部，靠近顶部的一侧面上，排气筒位于废气室顶部上表面的中心，滑块支撑柱的第一端和电机支撑座分别位于支撑板的上表面，第二端通过滑动块的圆柱孔与挡板的下表面固连。本发明将气体检测仪检测到的废气浓度变化实时反馈到抽风机的电动机，实现实时控制，准确控制废气的走向，提高实用性。
id-CN110966871A    abstract-本发明属于石油化工技术领域，具体公开一种低热值燃料气加热炉节能装置及节能方法，包括加热炉，设置于加热炉顶部的燃烧器，设置于加热炉烟气出口处的燃料气预热器，所述燃料气预热器上设置有燃料气进口管路和燃料气出口管路，所述燃料气进口管路和燃料气出口管路之间还设有燃料气副线管路，燃料气副线管路直接将来自燃料气进口管路的燃料送往燃烧器中，还包括设置于燃料气预热器烟气出口的空气预热器，空气预热器烟气出口设置有烟气引风机，引风机出口设置有烟气排放烟囱，本发明利用烟气加热燃料气，减少了燃料用量，减少了装置的烟气量，有利于排烟温度的降低提升了装置的经济性。
id-DE102020102429A1    abstract-Die vorliegende Anmeldung betrifft ein Verfahren zur Herstellung von Zementklinker (12), umfassend die folgenden Verfahrensschritte:- Brennen von Rohmehl (13) in einem Drehrohrofen (2) zu Zementklinker (12) bei einer Temperatur von mindestens 1.400 °C;- Abziehen eines Chlormischstroms (5) aus dem Drehrohrofen (2), wobei der Chlormischstrom (5) im gasförmigen Aggregatzustand vorliegende Chloridverbindungen sowie Staubpartikel enthält;- Behandlung des Chlormischstroms (5) in einer Filteranlage (3).Um ein Verfahren zur Herstellung von Zementklinker hervorzubringen, bei dem auch besonders feingemahlene Staubpartikel des Rohmehls in dem Herstellungsprozess erhalten bleiben, wird erfindungsgemäß vorgeschlagen, dass zumindest ein Teil des Chlormischstroms (5) mit einer Temperatur von mindestens 900 °C einem Filterorgan (6) der Filteranlage (3) zugeführt wird, wobei in dem Chlormischstrom (5) enthaltene Staubpartikel derart an dem Filterorgan (6) abgeschieden werden, dass der Chlormischstrom (5) in einen von Staubpartikeln gebildeten Staubstrom (7) und einen gasförmigen Chlorgasstrom (8) getrennt wird, der die Chloridverbindungen enthält.
id-CN114364640A    abstract-在转炉废气集尘水的处理中，使用添加剂来高效地分离集尘水中的粉尘。本发明的转炉废气集尘水的处理方法的特征在于，将利用湿式集尘器对转炉废气进行湿式集尘处理而得到的包含粉尘的集尘水导入到粗粒分离器中，分离粗粒粉尘后，在稠化器中进行絮凝沉淀处理，在从集尘水流动的湿式集尘器的出口位置至粗粒分离器内的位置为止的第1流路间的任意位置处测定集尘水的水温，在第1流路间、和从粗粒分离器的出口位置至稠化器内的位置为止的第2流路间的至少1个部位的位置处，将与根据水温的变化所假定的集尘水中的粉尘量相符的浓度的絮凝剂添加到集尘水中。优选用非接触式温度计测定水温。
id-CN114929904A    abstract-一种用于预热金属炉料(11)的工艺和设备，所述金属炉料通过设有侧壁、拱顶和水平输送机(13)的预热通道(16)连续送入电熔炉(12)，其中所述金属炉料(11)被从所述电熔炉(12)出来的烟气或废气(17)逆流包围。根据所述工艺和设备，用于完成所述烟气或废气(17)燃烧的空气的吸入通过沿预热通道的开口从周围环境进入，优选地，在所述预热通道和所述电熔炉之间的界面处存在开口，根据位于所述通道(16)的终端部分或所述部分的下游的温度传感器(21)所显示的测量值和/或排出气体的组成，通过作用于抽吸风扇和/或所述开口来调节所述吸入；金属炉料被通过布置在所述通道(16)的拱顶上的多个喷嘴(15)喷出的气体射流包围，由所述喷嘴(15)喷射的气体射流在预热通道(16)的拱顶上不均匀地横向分布，在所述通道(16)的拱顶的顶部具有较高的浓度，并且气体射流沿所述预热通道(16)纵向不均匀分布，所述喷嘴(16)沿其分布的横向部分与没有所述喷嘴(15)的通道(16)的纵向部分间隔开，以避免干扰现象。
id-CN111059918A    abstract-本发明涉及特高温液态冶金渣余热回收用换热器，具有换热管组；所述换热管组的外部围设有换热板组；围设在换热管组外部的换热板组形成换热腔体；所述换热腔体内填充有传热金属；所述传热金属与换热板组、换热管组连接成一体。本发明能够用于特高温液态冶金渣的热量回收利用，有效解决了传统换热器无法直接对特高温液态冶金渣进行余热回收的问题。
id-CN113074558A    abstract-本发明公开了一种侧吹熔炼炉，所述侧吹熔炼炉包括：炉体，所述炉体内的空间分为熔池区、气相区和熔体澄清池，所述气相区位于所述熔池区上方，所述熔池区与所述熔体澄清池沿水平方向排列；烟道，所述烟道设在所述炉体上方，所述烟道上设有烟气排放口，所述烟道连通所述气相区和所述烟气排放口，所述烟气排放口上设有用于打开或关闭所述烟气排放口的阀板；第一侧吹喷枪，所述第一侧吹喷枪设在所述炉体上且与所述熔池区连通；第二侧吹喷枪，所述第二侧吹喷枪设在所述炉体上且与所述气相区导通。根据本发明实施例的侧吹熔炼炉具有能效高、不易产生烟气污染等优点。
id-CN111207598A    abstract-本发明涉及一种环冷台车废气收集系统，其包括余热锅炉和环冷台车废气收集装置,环冷台车废气收集装置包括第一冷却区段、第二冷却区段和第三冷却区段，余热锅炉上设置有高温烟气进口和低温烟气进口，余热锅炉通过蒸汽管道连通有汽轮机，余热锅炉通过循环烟道与环冷台车废气收集装置连通，循环烟道内设置有循环风机。高温烟气和低温烟气在余热锅炉中进行热交换，并产生高、低压两种参数的蒸汽，两种蒸汽分别通过蒸汽管道进入到汽轮机，使得汽轮机做功并用于发电，而经热交换后温度降低至145℃的烟气在循环风机的作用下，通过循环烟道重新进入到环冷台车废气收集装置中对烧结块进行冷却，本发明具有对高、低温烟气热量充分利用的效果。
id-CN111207599A    abstract-本发明公开了一种节能型热循环隧道窑，涉及窑炉的技术领域，其包括窑体以及通过管道依次连接在窑体上的换热装置和过滤装置，所述换热装置包括密封的换热箱体，所述换热箱体内盛有水，所述窑体具有伸入换热箱体内水中的输气管，换热箱体的另一侧设置有位于水位上方的出气管，设置有进水管道和出水管道，且进水管道和出水管道上均设置有对其流速进行控制的调节阀，所述出水管道上螺旋缠绕设置有换热管，所述换热管的一端进水并沿着换热管在出水管道周壁流过再从另一端送出；所述过滤装置包括有过滤罐体以及设置在过滤罐体内的活性炭滤芯，所述出气管送入的尾气经过活性炭滤芯过滤后再从过滤罐体中排出。本发明能够实现对于窑炉尾气热量的利用。
id-CN111238222A    abstract-本发明公开了一种带尾气处理系统的隧道窑，涉及窑炉的技术领域，其包括窑体以及通过管道连接在窑体上对尾气进行处理的过滤装置，所述过滤装置包括依次设置的粗过滤器和细过滤器，所述粗过滤器包括密闭的蓄水箱体，所述窑体上具有伸入蓄水箱体内水中的输气管，所述蓄水箱体另一侧设置有位于水位上方出气管，所述出气管与细过滤器相连，所述蓄水箱体底部的两侧设置有进水管道和出水管道，且进水管道和出水管道的水流速度相同，所述细过滤器包括有过滤罐体以及设置在过滤罐体内的活性炭滤芯，所述出气管送入的尾气经过活性炭滤芯后再从过滤罐体排出。本发明能够在活性炭滤芯过滤前先对尾气进行初步处理，降低活性炭滤芯的过滤负荷。
id-DE202020000227U1    abstract-Abgaskrümmeranordnung (20) für einen Schmelzofen oder dgl. mit einem einen Eingang (21) für Abluft aus dem Schmelzofen oder dgl. definierenden Anschlussflansch zum Anschluss an den Schmelzofen oder dgl., mit einer Auslassöffnung (27), an der ein Einlass eines Wärmetauschers anschließbar ist, mit einer Einlassöffnung (28), an der ein Auslass des Wärmetauschers anschließbar ist, und mit einem Ausgang (26), der mit einem stationären Schornstein verbindbar ist, wobei eine drehbar gelagerte Klappeneinrichtung (22) vorgesehen ist, die wahlweise in eine die Auslassöffnung (27) im Wesentlichen abdeckende bzw. verschließende erste Stellung, in eine zumindest einen Teil der Abgase zu der Auslassöffnung (27) lenkende zweite Stellung oder in eine den Eingang (21) im Wesentlichen abdeckende bzw. verschließende dritte Stellung bringbar ist, dadurch gekennzeichnet, dass die Klappeneinrichtung (22) horizontal an der Abgaskrümmeranordnung (20) gelagert ist.
id-CN113073171A    abstract-本发明实施例提供一种电炉喷灰装置，包括：储灰罐、输灰管、出灰管以及空气输送装置，储灰罐的顶端设置有进灰口，储灰罐的底端设置有出灰口，出灰口与出灰管连通，出灰管与输灰管连通，且出灰管位于储灰管的一端与输灰管的另一端之间，输灰管的一端用于与电炉的炉体内部连通，输灰管背离电炉的另一端与空气输送装置连通，以驱动输灰管内的空气向靠近电炉的方向流动；通过上述设置，电炉灰经由进灰口被置入到储灰罐内，然后由出灰口进入出灰管，再从出灰管进入输灰管内，最终在空气输送装置的驱动作用下，电炉灰被吹送到电炉炉体的内部，以进行加热处理，从而避免将电炉灰堆积在厂房内，消除安全隐患。
id-CN111219993A    abstract-本发明公开了钒氮合金旋转窑余热利用装置，包括主体、进烟口、换热管，所述主体的一端一体成型设置有进烟口、一端另一端一体成型设置有排烟口，通过本发明设置的滤板和固定装置，对于在烟气进行余热回收时，能够对烟气中的杂质颗粒进行很好的阻拦，避免杂质颗粒对余热回收造成影响，并且通过固定装置的设置，使得滤板的清理和更换更为方便，进而能够保持主体最优的余热回收效果，通过设置的第一挤压弹簧、挤压环、第一放置槽、第二挤压弹簧、第一挤压块，能够对主体中的换热管进行弹性紧固，不会收热胀冷缩的影响，进而保证换热管的连接紧固，保证余热回收工作的质量。
id-CN111207405A    abstract-本发明公开了一种烟气脱硫脱硝脱白除尘一体化设备，包括：沿气流方向依次设置的取热换热器、除尘器、脱硫脱硝塔、复合冷凝器、预热换热器、升温换热器和烟囱，复合冷凝器包括由下至上依次设置的进气室、扰流室和冷凝室。烟气经过除尘器除尘、脱硫脱硝塔进行脱硫脱硝处理、复合冷凝器冷凝降温、预热换热器、升温换热器进行加热，实现烟气的除尘、脱硫脱硝和脱白的目的；利用冷凝后回收的热量对冷凝后的烟气进行预加热，利用取热换热器回收的烟气中的热量对预加热后的烟气进行再加热；从而能充分利用设备中的产热，节约能源；本发明的复合冷凝器兼具冷凝和除尘的功能，能有效降低烟气中的水分和粉尘，提高整体设备的烟气处理效果。
